threads	time	result
1	1.48011	1.333362
2	3.20571	1.333398
3	2.92320	1.333385
4	2.17493	1.333362
5	1.79759	1.333332
6	1.69986	1.333300
7	1.60877	1.333326
8	1.44702	1.333447
10	1.35293	1.333316
12	1.10072	1.333325
14	0.95632	1.333283
15	0.78035	1.333398
16	0.82929	1.333408
20	0.66393	1.333322
21	0.69152	1.333355
24	0.63254	1.333434
28	0.60630	1.333389
30	0.54839	1.333200
32	0.53478	1.333304
35	0.49557	1.333382
40	0.50191	1.333392
42	0.50540	1.333379
48	0.53389	1.333276
56	0.48785	1.333412
60	0.44781	1.333403
64	0.42904	1.333311
70	0.42141	1.333365
80	0.41537	1.333364
84	0.42215	1.333406
96	0.42569	1.333297
105	0.42047	1.333207
112	0.40249	1.333198
120	0.38409	1.333314
128	0.37892	1.333336
140	0.42371	1.333287
160	0.41189	1.333293
168	0.39879	1.333392
192	0.40641	1.333387
210	0.38073	1.333348
224	0.39495	1.333280
240	0.39823	1.333376
256	0.45316	1.333265
280	0.47999	1.333384
320	0.44839	1.333375
336	0.39841	1.333323
384	0.38797	1.333281
420	0.38395	1.333342
448	0.40117	1.333355
480	0.38747	1.333447
512	0.40127	1.333395
560	0.41192	1.333269
640	0.41388	1.333311
672	0.40629	1.333316
768	0.39486	1.333389
840	0.41552	1.333331
896	0.41238	1.333373
960	0.39527	1.333332
1024	0.40840	1.333296
1120	0.42984	1.333356
1280	0.42749	1.333369
1344	0.41559	1.333387
1536	0.41123	1.333346
1680	0.44031	1.333398
1792	0.43928	1.333332
1920	0.45754	1.333241
2048	0.46111	1.333280
2240	0.46366	1.333416
2560	0.45307	1.333377
2688	0.47738	1.333422
3072	0.48569	1.333363
3360	0.48838	1.333348
3584	0.47881	1.333349
3840	0.49388	1.333339
4096	0.51352	1.333330
4480	0.55200	1.333317
5120	0.56785	1.333274
5376	0.67573	1.333315
6144	0.62398	1.333359
6720	0.63446	1.333363
7168	0.61670	1.333375
7680	0.72765	1.333307
8192	0.75651	1.333278
8960	0.69359	1.333234
10240	0.74255	1.333237
10752	0.74440	1.333322
12288	0.74402	1.333325
13440	0.76567	1.333235
14336	0.79765	1.333258
15360	0.81445	1.333288
16384	0.84087	1.333293
17920	0.91823	1.333294
20480	0.94085	1.333286
21504	0.94197	1.333278
24576	1.00884	1.333317
26880	1.00192	1.333358
28672	1.03415	1.333453
30720	1.07968	1.333278

